city,housecode_complete,house,location,time,temp,rh,dewpt
Neiva,NE1-in,NE1,in,2019-07-29 12:00:00,32.37,37.75,16.14
Neiva,NE1-in,NE1,in,2019-07-29 16:00:00,33.85,35.40,16.43
Neiva,NE1-in,NE1,in,2019-07-29 20:00:00,31.31,40.64,16.37
Neiva,NE1-in,NE1,in,2019-07-30 0:00:00,28.98,45.67,16.09
Neiva,NE1-in,NE1,in,2019-07-30 4:00:00,27.60,48.74,15.86
Neiva,NE1-in,NE1,in,2019-07-30 8:00:00,27.30,52.05,16.62
Neiva,NE1-in,NE1,in,2019-07-30 12:00:00,31.82,37.54,15.57
Neiva,NE1-in,NE1,in,2019-07-30 16:00:00,32.56,38.79,16.74
Neiva,NE1-in,NE1,in,2019-07-30 20:00:00,30.64,43.05,16.67
Neiva,NE1-in,NE1,in,2019-07-31 0:00:00,28.93,47.16,16.56
Neiva,NE1-in,NE1,in,2019-07-31 4:00:00,27.67,49.10,16.04
Neiva,NE1-in,NE1,in,2019-07-31 8:00:00,27.43,51.22,16.48
Neiva,NE1-in,NE1,in,2019-07-31 12:00:00,34.06,33.69,15.84
Neiva,NE1-in,NE1,in,2019-07-31 16:00:00,34.76,33.37,16.30
Neiva,NE1-in,NE1,in,2019-07-31 20:00:00,31.02,42.63,16.86
Neiva,NE1-in,NE1,in,2019-08-01 0:00:00,29.67,44.84,16.44
Neiva,NE1-in,NE1,in,2019-08-01 4:00:00,27.96,48.83,16.22
Neiva,NE1-in,NE1,in,2019-08-01 8:00:00,27.64,51.03,16.62
Neiva,NE1-in,NE1,in,2019-08-01 12:00:00,32.79,36.60,16.04
Neiva,NE1-in,NE1,in,2019-08-01 16:00:00,34.57,33.07,16.00
Neiva,NE1-in,NE1,in,2019-08-01 20:00:00,31.63,40.33,16.52
Neiva,NE1-in,NE1,in,2019-08-02 0:00:00,29.73,45.71,16.79
Neiva,NE1-in,NE1,in,2019-08-02 4:00:00,28.31,49.32,16.70
Neiva,NE1-in,NE1,in,2019-08-02 8:00:00,27.39,52.65,16.88
Neiva,NE1-in,NE1,in,2019-08-02 12:00:00,31.57,39.92,16.31
Neiva,NE1-in,NE1,in,2019-08-02 16:00:00,33.50,35.92,16.36
Neiva,NE1-in,NE1,in,2019-08-02 20:00:00,30.87,45.12,17.62
Neiva,NE1-in,NE1,in,2019-08-03 0:00:00,29.72,46.44,17.03
Neiva,NE1-in,NE1,in,2019-08-03 4:00:00,28.62,46.56,16.08
Neiva,NE1-in,NE1,in,2019-08-03 8:00:00,28.42,50.06,17.03
Neiva,NE1-in,NE1,in,2019-08-03 12:00:00,30.93,45.88,17.94
Neiva,NE1-in,NE1,in,2019-08-03 16:00:00,31.58,45.18,18.29
Neiva,NE1-in,NE1,in,2019-08-03 20:00:00,29.95,47.94,17.75
Neiva,NE1-in,NE1,in,2019-08-04 0:00:00,27.30,62.26,19.47
Neiva,NE1-in,NE1,in,2019-08-04 4:00:00,25.81,65.12,18.78
Neiva,NE1-in,NE1,in,2019-08-04 8:00:00,25.36,69.91,19.50
Neiva,NE1-in,NE1,in,2019-08-04 12:00:00,27.98,55.64,18.30
Neiva,NE1-in,NE1,in,2019-08-04 16:00:00,29.23,51.84,18.34
Neiva,NE1-in,NE1,in,2019-08-04 20:00:00,26.33,57.08,17.17
Neiva,NE1-in,NE1,in,2019-08-05 0:00:00,26.07,52.52,15.62
Neiva,NE1-in,NE1,in,2019-08-05 4:00:00,25.82,52.43,15.37
Neiva,NE1-in,NE1,in,2019-08-05 8:00:00,26.35,53.07,16.04
Neiva,NE1-in,NE1,in,2019-08-05 12:00:00,29.61,42.91,15.69
Neiva,NE1-in,NE1,in,2019-08-05 16:00:00,31.34,37.46,15.11
Neiva,NE1-in,NE1,in,2019-08-05 20:00:00,28.80,42.02,14.64
Neiva,NE1-in,NE1,in,2019-08-06 0:00:00,27.28,45.53,14.51
Neiva,NE1-in,NE1,in,2019-08-06 4:00:00,26.38,46.59,14.05
Neiva,NE1-in,NE1,in,2019-08-06 8:00:00,26.33,48.36,14.58
Neiva,NE1-in,NE1,in,2019-08-06 12:00:00,30.41,36.70,13.98
Neiva,NE1-in,NE1,in,2019-08-06 16:00:00,32.27,34.29,14.56
Neiva,NE1-in,NE1,in,2019-08-06 20:00:00,29.58,40.68,14.83
Neiva,NE1-in,NE1,in,2019-08-07 0:00:00,28.29,43.06,14.55
Neiva,NE1-in,NE1,in,2019-08-07 4:00:00,27.29,48.76,15.58
Neiva,NE1-in,NE1,in,2019-08-07 8:00:00,27.40,48.77,15.69
Neiva,NE1-in,NE1,in,2019-08-07 12:00:00,33.50,29.17,13.13
Neiva,NE1-in,NE1,in,2019-08-07 16:00:00,33.57,31.07,14.16
Neiva,NE1-in,NE1,in,2019-08-07 20:00:00,31.37,38.50,15.57
Neiva,NE1-in,NE1,in,2019-08-08 0:00:00,29.79,42.31,15.63
Neiva,NE1-in,NE1,in,2019-08-08 4:00:00,28.67,46.85,16.21
Neiva,NE1-in,NE1,in,2019-08-08 8:00:00,28.11,47.54,15.93
Neiva,NE1-in,NE1,in,2019-08-08 12:00:00,31.72,39.69,16.36
Neiva,NE1-in,NE1,in,2019-08-08 16:00:00,31.08,41.25,16.39
Neiva,NE1-in,NE1,in,2019-08-08 20:00:00,29.29,45.10,16.18
Neiva,NE1-in,NE1,in,2019-08-09 0:00:00,27.72,48.63,15.94
Neiva,NE1-in,NE1,in,2019-08-09 4:00:00,27.12,51.97,16.43
Neiva,NE1-in,NE1,in,2019-08-09 8:00:00,27.49,51.93,16.75
Neiva,NE1-in,NE1,in,2019-08-09 12:00:00,30.10,44.43,16.68
Neiva,NE1-in,NE1,in,2019-08-09 16:00:00,32.69,37.40,16.28
Neiva,NE1-in,NE1,in,2019-08-09 20:00:00,30.16,45.55,17.12
Neiva,NE1-in,NE1,in,2019-08-10 0:00:00,28.04,53.08,17.61
Neiva,NE1-in,NE1,in,2019-08-10 4:00:00,27.24,52.79,16.78
Neiva,NE1-in,NE1,in,2019-08-10 8:00:00,27.37,54.76,17.48
Neiva,NE1-in,NE1,in,2019-08-10 12:00:00,30.60,43.58,16.82
Neiva,NE1-in,NE1,in,2019-08-10 16:00:00,32.41,39.22,16.78
Neiva,NE1-in,NE1,in,2019-08-10 20:00:00,30.82,45.70,17.78
Neiva,NE1-in,NE1,in,2019-08-11 0:00:00,29.02,50.80,17.81
Neiva,NE1-in,NE1,in,2019-08-11 4:00:00,28.09,51.56,17.19
Neiva,NE1-in,NE1,in,2019-08-11 8:00:00,27.31,58.28,18.42
Neiva,NE1-in,NE1,in,2019-08-11 12:00:00,30.08,49.41,18.35
Neiva,NE1-in,NE1,in,2019-08-11 16:00:00,32.66,40.95,17.68
Neiva,NE1-in,NE1,in,2019-08-11 20:00:00,30.20,47.34,17.77
Neiva,NE1-in,NE1,in,2019-08-12 0:00:00,28.90,49.12,17.17
Neiva,NE1-in,NE1,in,2019-08-12 4:00:00,27.43,52.68,16.93
Neiva,NE1-in,NE1,in,2019-08-12 8:00:00,27.72,54.33,17.69
Neiva,NE1-in,NE1,in,2019-08-12 12:00:00,33.22,37.23,16.68
Neiva,NE1-in,NE1,in,2019-08-12 16:00:00,33.29,39.51,17.68
Neiva,NE1-in,NE1,in,2019-08-12 20:00:00,30.85,42.99,16.84
