Municipio,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,01/08/2019 00:00,35.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,02/08/2019 00:00,34.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,03/08/2019 00:00,33.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,04/08/2019 00:00,31.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,05/08/2019 00:00,33.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,06/08/2019 00:00,34.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,07/08/2019 00:00,35.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,08/08/2019 00:00,32.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,09/08/2019 00:00,34.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,10/08/2019 00:00,34.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,11/08/2019 00:00,34.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,12/08/2019 00:00,34.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,13/08/2019 00:00,31.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,14/08/2019 00:00,33.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,15/08/2019 00:00,33.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,16/08/2019 00:00,30.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,17/08/2019 00:00,36.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,18/08/2019 00:00,36.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,19/08/2019 00:00,32.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,20/08/2019 00:00,34.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,21/08/2019 00:00,36
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,22/08/2019 00:00,36.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,23/08/2019 00:00,33.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,24/08/2019 00:00,33.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,25/08/2019 00:00,36.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,26/08/2019 00:00,32.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,27/08/2019 00:00,35.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,28/08/2019 00:00,34
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,29/08/2019 00:00,35.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,30/08/2019 00:00,37.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,31/08/2019 00:00,35.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,01/09/2019 00:00,34.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,02/09/2019 00:00,33.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,03/09/2019 00:00,37.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,04/09/2019 00:00,36.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,05/09/2019 00:00,36.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,06/09/2019 00:00,35.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,07/09/2019 00:00,35.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,08/09/2019 00:00,36.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,09/09/2019 00:00,35.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,10/09/2019 00:00,37.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,11/09/2019 00:00,38.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,12/09/2019 00:00,38.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,13/09/2019 00:00,35.6
